Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total,Team,Season,GameNum,GameNumBand,HorA
"Oct 27, 2017",vs Denver,REG,L,105-100,W,7.5,U,210.0,ATL,2018,6,<=10,Home
"Oct 29, 2017",vs Milwaukee,REG,L,117-106,L,5.5,O,199.5,ATL,2018,7,<=10,Home
"Nov 3, 2017",vs Houston,REG,L,119-104,L,9.0,O,213.5,ATL,2018,9,<=10,Home
"Nov 6, 2017",vs Boston,REG,L,110-107,W,8.0,O,203.5,ATL,2018,11,<=25,Home
"Nov 15, 2017",vs Sacramento,REG,W,126-80,W,-5.0,O,205.0,ATL,2018,15,<=25,Home
"Nov 18, 2017",vs Boston,REG,L,110-99,L,6.0,O,202.5,ATL,2018,16,<=25,Home
"Nov 22, 2017",vs LA Clippers,REG,L,116-103,L,3.0,O,209.0,ATL,2018,18,<=25,Home
"Nov 24, 2017",vs New York,REG,W,116-104,W,-2.0,O,207.0,ATL,2018,19,<=25,Home
"Nov 25, 2017",vs Toronto,REG,L,112-78,L,6.5,U,208.5,ATL,2018,20,<=25,Home
"Nov 30, 2017",vs Cleveland,REG,L,121-114,W,7.5,O,217.5,ATL,2018,21,<=25,Home
"Dec 4, 2017",vs Brooklyn,REG,L,110-90,L,-1.0,U,222.0,ATL,2018,23,<=25,Home
"Dec 9, 2017",vs Orlando,REG,W,117-110,W,-5.0,O,208.5,ATL,2018,25,<=25,Home
"Dec 14, 2017",vs Detroit,REG,L,105-91,L,4.0,U,205.5,ATL,2018,28,<=40,Home
"Dec 18, 2017",vs Miami,REG,W,110-104,W,-2.0,O,201.5,ATL,2018,30,<=40,Home
"Dec 20, 2017",vs Indiana,REG,L,105-95,L,4.5,U,213.0,ATL,2018,31,<=40,Home
"Dec 23, 2017",vs Dallas,REG,W,112-107,W,1.5,O,203.0,ATL,2018,33,<=40,Home
"Dec 27, 2017",vs Washington,REG,W,113-99,W,6.0,U,214.0,ATL,2018,34,<=40,Home
"Dec 30, 2017",vs Portland,REG,W,104-89,W,2.5,U,204.0,ATL,2018,36,<=40,Home
"Jan 12, 2018",vs Brooklyn,REG,L,110-105,L,-3.0,O,211.0,ATL,2018,42,>40,Home
"Jan 15, 2018",vs San Antonio,REG,W,102-99,W,5.5,U,201.5,ATL,2018,43,>40,Home
